Firm Name,Target Name,Target Email,Discovery Details,Source URLs
OpenVC,[NAME],[EMAIL],"Direct Submit Deck Sent Example VC 2 4 (Good fit, slightly later stage) John Smith Warm Intro via [Contact Name] Intro Requested Example VC 3 3 (Broad tech focus) Emily White Direct Submit To Do Part  | 7. Balaji Srinivasan – Former Coinbase CTO; angel backing in frontier AI + crypto/AI intersections.
8. Ian Hogarth – Co-founder of Songkick and investor in AI safety/deep tech; co-author of the State  | |  | SinWave Ventures  VC firm | USA  UK+1 | $200k to $10M | 2. Prototype 3. Early Revenue+2 |","https://www.openvc.app/country/Germany, https://www.openvc.app/investor-lists/industry-4-investors, https://www.openvc.app/investor-lists/automotive-investors, https://www.openvc.app/investor-lists/ai-investors"
Eclipse Ventures,[NAME],[EMAIL],"Unknown

$100K - $5M

Unknown

Profile

Claire Smilow

Partner, BoxGroup

Fintech

Deeptech / Hardware

Devtools

+

2

View more in profile...

Unknown

Pre-Seed - Series A

Unknown

$250K-$1M

Unkno | is now expanding its suite to serve the full robotics lifecycle. Today, the Foxglove team announced its $40 million Series B backed by Eclipse, Bessemer Venture Partners , and Amplify Partners , to fu | About EclipseWith over $7 billion in regulatory assets under management, Eclipse is a team of ","https://visible.vc/blog/top-manufacturing-vcs/, https://www.rho.co/blog/vcs-in-manufacturing"
SEK Ventures,[NAME],[EMAIL],"🚀 Meetric raises SEK 21M in a funding round led by Spintop Ventures We’re thrilled to announce that Meetric has secured SEK 21 million in new funding, led by Spintop Ventures. This investment is more  | Remi Said, Partech. The Objective of the Fund is to invest and support Impact-native technologically proven and scalable businesses in their Growth and Impact journey. Portfolio inc. Neoplants, GOURME | ### About COMPREDICT (2017)

Founded as a spin-off from TU Darmstadt, COMPREDICT began with th",https://compredict.ai/portfolio/compredict-secures-pre-seed-investment
Octopus Ventures,[NAME],[EMAIL],"Cogna, which offers an AI-powered SaaS platform that streamlines the integration of data across several business domains, has raised $15 million in Series A funding round from Octopus Ventures, Notion | Alliott Cole Managing Director

Jo Oliver Partner

Malcolm Ferguson Partner

Notable Investments

Image 5

Image 6

Sectors

Consumer Software FinTech Healthcare

About

Image 7

Image 8

Location

Im | Vora Ventures

venture capital & private equity

### Frequently Asked Questions about Octopus ","https://fintech.global/2025/04/17/european-regtech-funding-fell-by-a-fifth-in-q1-2025-as-deal-activity-stabilises/, https://www.startupmag.co.uk/market/regtech/"
KEC Ventures,[NAME],[EMAIL],"•

AI analytics platform FinTech Studios raises $5.1mFinTech Futures•Sep 18, 2019•FinTech Studios, LightChain Capital, Cultivation Capital, KEC Ventures and 1 other

•

Teampay raises $4m so you don’t | In the case of my mom, one could argue that she did not have enough people around her. I think it’s a mix of both. It boils down to self awareness. If you’re the founder who came to it through formal  | About KEC Ventures

KEC Ventures is a seed-stage venture capital fund located in New York City",https://www.rho.co/blog/vcs-in-industrial-automation
Silent Ventures,[NAME],[EMAIL],"• Swarmbotics AI (Pre-Seed) • SV Build I - Defense Tech IoT (Founding Investor & Board Member) • Dirac (Pre-Seed & Seed) - Lead Investor • Saronic (Seed, Series A & B & C) • CHAOS (Series A & Series B | include:(1) Identifiers, such as your name, user name and password, as well as contact details, such as your personal or work postal address, email address and phone number;(2) Personal Information ca | ### What makes a venture capital firm 'founder-friendly'?

Founder-friendly firms typically of",https://www.rho.co/blog/vcs-in-manufacturing
Wingman Ventures,[NAME],[EMAIL],"Moving forward together

# The Wing team

We’re in it for the long haul. Our support structure uplifts founders, and is designed to help founders and their companies take flight.

Wing

## Partners an | About Wingman Growth Partners

Wingman Growth Partners is a private investment firm focused on partnering with software and technology-enabled businesses poised for significant growth. The firm provid | | Overall Rank | Company Details | Short Description | Total Funding | Investors | Tracxn Scor",https://www.seedtable.com/pre-seed-investors-zurich
Viola Ventures,[NAME],[EMAIL],"## Team profile of Viola Ventures

Viola Ventures has a team of 6 members including 4 Partners and 1 Principal located in Israel. Viola Ventures' team does not sit on the board of any company as of no | 🌏#MobilityTech, #ClimateTech, and #AI are rapidly evolving, transforming industries and reshaping the world as we know it. 🤝We have invested and partnered with FM Capital, Giant Ventures and SignalFir | | Company Name | Deal Date | Deal Type | Deal Size | Industry | Company Stage | Lead Partner |",https://www.failory.com/blog/automotive-venture-capital-firms
Pathlight Ventures,[NAME],[EMAIL],"|  |  |
 --- |
| Name | Mahdi Raza |
| Title | Co-Founder and Managing Partner |
| Experience | Mahdi built and scaled Fintech and Software startups, leading growth, payments, and scaling from early s | Each Issuer identified above has read this notice, knows the
contents to be true, and has duly caused this notice to be signed on
its behalf by the undersigned duly authorized person.

For signature,  | percentage of its portfolio. Pathlight Ventures has team of 2 people including 2 partners. [..",https://startups.eithealth.eu/lists/52915/list?showTransactions=false
EquityPitcher Ventures,[NAME],[EMAIL],"external page EquityPitcher Ventures is an early-stage venture capital investor based in Zurich that focuses on technology-enabled startups emanating from the DACH region. Closely working together wit | top of page

VC Partner

## EquityPitcher Ventures

EquityPitcher Ventures is a venture capital firm based in Zurich that supports technology-driven startups from the DACH region. Through close collab | #### Get the best stories from EquityPitcher.

ep-partner

EquityPitcher © 2025 All rights Res",https://www.seedtable.com/pre-seed-investors-zurich
